# kind: morphotactic_licensing
trigger,target_slot,licensed
[DIST=de],Tense,[Tense=present]|[Tense=habitual]|[Tense=future_prog]|[Tense=assertive]|[Tense=reported]
[DIST=di],Tense,[Tense=immediate]|[Tense=infinitive]
[Aspect=present],Tense,[Tense=present]
[Aspect=immediate],Tense,[Tense=immediate]
[Aspect=incompletive],Tense,[Tense=habitual]|[Tense=future_prog]|[Tense=assertive]|[Tense=reported]
[Aspect=completive],Tense,[Tense=assertive]|[Tense=reported]
[Aspect=infinitive],Tense,[Tense=infinitive]
