# kind: suffix
# stage: suffix
# feature: person_number
# part_of_speech: $verb
# tense: present
# mood: indicative
# class_feature: conjugation_class
paradigm,1sg,2sg,3sg,1pl,2pl,3pl
a_stem,-o,-as,-a,-amos,-áis,-an
e_stem,-o,-es,-e,-emos,-éis,-en
i_stem,-o,-es,-e,-imos,-ís,-en
diphthong,-o,-es,-e,-emos,-éis,-en
