# part_of_speech: $verb
prefix_class,acceptor
a_stem,<Morpheme>*a<Phone>*
v_stem,<Morpheme>*v<Phone>*
e_stem,<Morpheme>*e<Phone>*
k_a_stem,<Morpheme>*a<Phone>*
vowel_stem,<Morpheme>*<V><Phone>*
cons_stem,<Morpheme>*<C><Phone>*
r_stem,<Morpheme>*(<Son>|<N>)<Phone>*
