# kind: morpheme_replace
# morpheme_tag: [Pro]
# stage: pronominal
# feature: pronominal
# part_of_speech: $verb
# class_feature: prefix_class
paradigm,1sg.A,Edl.A,Epl.A,Idl.A,Ipl.A,2sg.A,2dl.A,2pl.A,3sg.A,3ns.A,1sg.B,Edl.B,Epl.B,Idl.B,Ipl.B,2sg.B,2dl.B,2pl.B,3sg.B,3ns.B,1sg>3sg,2sg>3sg
a_stem,k,ohst,ots,in,it,h,hst,its,a,an,akw,okin,ok,kin,ik,ts,hst,its,u,un,tsiy,hiy
v_stem,k,ohst,ots,in,it,h,hst,its,k,an,akw,okin,ok,kin,ik,ts,hst,its,uwa,un,tsiy,hiy
e_stem,k,ohst,ots,in,it,h,hst,its,"",an,akw,okin,ok,kin,ik,ts,hst,its,uw,un,tsiy,hiy
k_a_stem,k,ohst,ots,in,it,h,hst,its,k,an,akw,okin,ok,kin,ik,ts,hst,its,u,un,tsiy,hiy
vowel_stem,k,ohst,ots,in,it,h,hst,its,k,an,akw,okin,ok,kin,ik,ts,hst,its,uw,un,tsiy,hiy
cons_stem,tsi,ohsti,otsi,ini,iti,hi,hsti,itsi,a,ani,aki,okini,oki,kini,iki,tsa,hsti,itsi,u,uni,tsi,hi
r_stem,tsi,ohsti,otsi,ini,iti,hi,hsti,itsi,ka,ani,aki,okini,oki,kini,iki,tsa,hsti,itsi,u,uni,tsi,hi
long_stem,tsi,ohsti,otsi,ini,iti,hi,hsti,itsi,ka,ani,aki,okini,oki,kini,iki,tsa,hsti,itsi,uwa,uni,tsiya,hiya
