# kind: insertion
# rule: insert_DIST1
tag,rule_name,l_context,r_context,content
[DIST]i,insert_dist1_i,,,t
[DIST],insert_dist1_v_h,,"<V>",t
[DIST],insert_dist1_default,,,te
