corpus_id,entry_no,definition,present,present_1sg,imperfective,perfective,imperative,infinitive,entry_type,h_root,glottal_root,aspect_class,prefix_class,tense_present_class,set_a,plural,animate_objects,variant_present,variant_incompletive,variant_completive,variant_immediate,variant_infinitive
44,48,it’s twisting,atanutheyoha,katanutheyoha,atanutheyoho'i,utanutheyolv'i,hatanutheyaka,utanutheyoti,Eventful,atanuthey,atanuthey,oh-ol,a_stem,a_present,True,False,False,1,1,1,1,1
46,50,he/she is ordering it,atanvska,katanvska,atanvsko'i,utanvsv'i,hatanvla,utanvsti,Eventful,atanv,atanv,sk-s-la,a_stem,a_present,True,False,False,1,1,1,1,1
48,52,he/she is cooking a meal,atastayvhvska,katastayvhvska,atastayvhvsko'i,utastayvnhv'i,hatastayvhvka,utastayhti,Eventful,atastay,atastay,episodic,a_stem,a_present,True,False,False,1,1,1,1,1
48,52,he/she is cooking a meal,atastayvhvska,katastayvhvska,atastayvhvsko'i,utastayvnhv'i,hatastayvhvka,utastayhti,Eventful,atastayv,atastayv,hvsk-nh,a_stem,a_present,True,False,False,1,1,1,1,2
51,55,it’s burning (refers to flames),atawelaki'a,katawelaki'a,atawelakisko'i,utawelakv'i,hatawelaka,utawelakisti,Eventful,atawelak,atawelak,i-a-i,a_stem,a_present,True,False,False,1,1,1,1,1
54,58,he/she is resting,atawesolvstiha,katawesolvstiha,atawesolvstisko'i,utawesolvsthanv'i,hatawesolvsta,utawesolvstohti,Eventful,atawesolvst,atawesolvst,cause,a_stem,a_present,True,False,False,1,1,1,1,1
56,60,he/she is bathing,atawo'a,katawo'a,atawosko'i,utawo'v'i,hatawotsa,utawosti,Eventful,ataw,ataw,o,a_stem,a_present,True,False,False,1,1,1,1,1
59,63,he/she is giving him/her it (refers to a long object),ateha,tsiteha,ateho'i,utelv'i,hitisi,utehti,Eventful,t,t,apl,cons_stem,a_present,True,False,False,1,1,1,3,1
59,63,he/she is giving him/her it (refers to a long object),ateha,tsiteha,ateho'i,utelv'i,hitisi,utehti,Eventful,t,t,apl,cons_stem,a_present,True,False,True,1,1,1,3,1
61,65,he/she is embarrassing him/her,atehohistiha,tsiyate'ohistiha,atehohistisko'i,utehohisthanv'i,hiyate'ohista,utehohistohti,Eventful,atehohist,ate'ohist,cause,a_stem,a_present,True,False,True,1,1,1,1,1
62,66,he/she is embarrassed,atehoska,kate'oska,atehosko'i,utehosv'i,hatehohi,utehohisti,Eventful,ateho,ate'o,sk-s-hi-hihst,a_stem,a_present,True,False,False,1,1,1,1,1
63,67,he/she is being born,atehvska,kate'vska,atehvsko'i,utenhv'i,hatehvka,utehti,Eventful,ate,ate,hvsk-nh,a_stem,a_present,True,False,False,1,1,1,1,1
67,71,he/she is finding it out,atelohoska,katelo'oska,atelohosko'i,utelohosv'i,hatelohohi,utelohohisti,Eventful,ateloho,atelo'o,sk-s-hi-hihst,a_stem,a_present,True,False,False,1,1,1,1,1
70,74,he/she is going around a curve,ateyoha,kateyoha,ateyoho'i,uteyolv'i,hateyaka,uteyhsti,Eventful,atey,atey,oh-ol,a_stem,a_present,True,False,False,1,1,1,1,2
72,76,he/she is laying it down (refers to a long object),ati'a,tsiti'a,atisko'i,utv'i,hita,utisti,Eventful,t,t,i-a-i,cons_stem,a_present,True,False,False,1,1,1,1,1
72,76,he/she is laying it down (refers to a long object),ati'a,tsiti'a,atisko'i,utv'i,hita,utisti,Eventful,t,t,i-a-i,cons_stem,a_present,True,False,True,1,1,1,1,1
74,78,he/she is scattering it,atikaleya'a,katikaleya'a,atikaleyasko'i,utikaleyv'i,hatikaleya,utikaleyasti,Eventful,atikaley,atikaley,a,a_stem,a_present,True,False,False,1,1,1,1,1
75,79,it’s scattering,atikaleyoka,,atikaleyoko'i,utikaleyotsv'i,,utikaleyoyhsti,Eventful,atikaleyo,,become,a_stem,a_present,True,False,False,1,1,1,1,3
75,79,it’s scattering,atikaleyoka,,atikaleyoko'i,utikaleyotsv'i,,utikaleyoyhsti,Eventful,atikaleyo,,become,a_stem,a_present,True,False,True,1,1,1,1,3
75,79,it’s scattering,atikaleyoka,,atikaleyoko'i,utikaleyotsv'i,,utikaleyoyhsti,Eventful,tikaleyo,,become,cons_stem,a_present,True,False,False,1,1,1,1,3
75,79,it’s scattering,atikaleyoka,,atikaleyoko'i,utikaleyotsv'i,,utikaleyoyhsti,Eventful,tikaleyo,,become,cons_stem,a_present,True,False,True,1,1,1,1,3
76,80,he/she is spinning,atikwalvteyoha,katikwalvteyoha,atikwalvteyoho'i,utikwalvteyolv'i,hatikwalvteyaka,utikwalvteyhsti,Eventful,atikwalvtey,atikwalvtey,oh-ol,a_stem,a_present,True,False,False,1,1,1,1,2
78,82,he/she is running over him/her,atinvtiha,tsiyatinvtiha,atinvtisko'i,utinvthanv'i,hiyatinvta,utinvtohti,Eventful,atinvt,atinvt,cause,a_stem,a_present,True,False,True,1,1,1,1,1
79,83,he/she is hiding,atiskalhvska,katiskalhvska,atiskalhvsko'i,utiskalhanv'i,hatiskalhvka,utiskalhti,Eventful,atiskal,atiskal,hvsk-han,a_stem,a_present,True,False,False,1,1,1,1,1
