# kind: morphotactic_licensing
# trigger_slot: DIST
trigger,target_slot,licensed
[DIST=de],Tense,[Tense=present_a]|[Tense=present_i]|[Tense=habitual]|[Tense=future_prog]|[Tense=assertive]|[Tense=reported]
[DIST=di],Tense,[Tense=immediate]|[Tense=infinitive]
