aspect_class,aspect,variant,effect
hvsk-nh,infinitive,2,drop_final
hvsk-nh,infinitive,4,drop_final
hvsk-n,infinitive,1,drop_final
apl,immediate,1,drop_final
apl,immediate,2,drop_final_two
